"Produkttitel","Antal bestilt","Antal returneret","Frekvensen for returneret antal"
"Kérastase Specifiqué Potentialiste Leave-in 90 ml - Hårserum",3,0,0
"KMS HairPlay Dry Texture Spray 250 ml - Hårlak",3,0,0
"Redken Brews Instant Thickening Spray 125 ml - Hårkur",3,-1,0.3333333333333333
"Maria Nila Luminous Colour Shampoo 1000 ml - Shampoo",3,0,0
"L'Oréal Pro Tecni.Art Fix Design 200 ml - Hårlak",3,0,0
"L'Oréal Professionnel Hair Touch Up Spray Light Brown - sprayfarve",3,0,0
"Redken Extreme Length Sealer Leave-in Treatment 150 ml - Hårkur",3,0,0
"Redken Styling Oil for All 100 ml - Hårolie  UDGÅET",3,-3,1
"Maria Nila Head & Hair Heal Shampoo 350 ml - Shampoo",3,0,0
"Kérastase Blond Absolu Masque Ultra-Violet 200 ml - Hårkur",3,0,0
"Redken All Soft Shampoo 300 ml - Hårshampoo",3,0,0
"Maria Nila Pure Volume Shampoo  1000 ml - Shampoo",3,0,0
"Oway Nurturing Drops 50 ml - Hårserum",3,0,0
"Kérastase Genesis Ampoules Cure Serum Anti-Chute 60 ml - Hårserum",2,-2,1
"KMS CurlUp Style Twisting Style Balm 230 ml - Krøllecreme",2,0,0
"Redken Acidic Color Gloss Shampoo",2,0,0
"Maria Nila Structure Repair Conditioner 1000 ml - Balsam",2,0,0
"Redken Acidic Color Gloss Conditioner",2,0,0
"Shu Uemura Uzu Cotton Definition Cream 75 ml - Krøllecreme",2,0,0
"Maria Nila Colour Refresh Bright Red 300 ml - Farvende hårkur",2,0,0
"weDo Professional Rich & Repair Shampoo 300 ml - Shampoo",2,-1,0.5
"Maria Nila Structure Repair Shampoo 1000 ml - Shampoo",2,0,0
"Redken Styling Powder Grip - Hårpudder",2,0,0
"BaByliss Airstyler Perfect Finish",2,0,0
"Shu Uemura Ashita Supreme Intense Revitalization Serum 90 ml - Hårserum",2,0,0
"Shu Uemura Essence Absolue Nourishing Soothing Scalp Oil Concentrate 50 ml",2,0,0
"Maria Nila Luminous Colour Conditioner 1000 ml - Balsam",2,0,0
"HH Simonsen Signature Styler - Glattejern",2,-1,0.5
"Kérastase Symbiose Masque Revitalisant Essentiel Hair Mask 200 ml",2,0,0
"Oway Shaping Putty 50 ml - Hårvoks",2,0,0
"Maria Nila Structure Repair Booster Masque 50 ml - Hårkur",2,0,0
"Maria Nila Colour Refresh Sand 300 ml - Farvende hårkur",2,0,0
"Kérastase Soleil Huile Sirene 150 ml - Hårolie",2,0,0
"L’Oréal Pro Serie Expert Absolut Repair Molecular Leave-in Mask 100 ml",2,0,0
"Maria Nila Colour Refresh Cacao 100 ml - Farvende hårkur",2,0,0
"Redken Blondage High Bright Conditioner 300 ml - Balsam",2,0,0
"Maria Nila Volume Spray 100 ml - Hårlak",2,0,0
"Oway Rebuilding Hair Mask 150 ml - Hårkur",2,0,0
"Redken Extreme Length Triple Action Treatment 250 ml - Hårkur",2,0,0
"Shu Uemura Ultimate Reset Overnight Serum 90 ml - hårserum",2,0,0
"L'Oréal Pro Tecni.Art Fix Anti-Frizz 250 ml - Anti-krus",2,-2,1
"Oway Precious Wax 50 ml - Hårvoks",2,0,0
"Maria Nila Sheer Silver Booster Masque 50 ml - Hårkur",2,0,0
"Kérastase Soleil Masque Apres Soleil 200 ml - Hårkur",2,-1,0.5
"L'Oréal Pro Tecni.Art Bouncy & Tender 150 ml - Krøllecreme & gelé",2,-1,0.5
"Oway Moisturizing No-Rinse Conditioner 160 ml - Balsam",2,0,0
"Shu Uemura Tsuki Shape Blow Dry Spray 200 ml - Hårprimer",2,0,0
"Kérastase Chronologiste Thermique Régénérant 150 ml - Varmebeskyttelse",2,0,0
"Oway Frequent Use Hair & Scalp Bath 240 ml - Shampoo",2,0,0
"Kérastase Discipline Maskeratine 200 ml - Hårkur",2,0,0
"Redken Frizz Dismiss Mask 250 ml - Hårkur",2,0,0
"Redken Scalp Relief Dandruff Control Shampoo 250 ml - Skælshampoo",2,0,0
"BaByliss Air Style 1000 - Hårtørrer - Levering 3-5 hverdage",2,0,0
"Balmain Hair Couture Couleurs Couture Shampoo 300 ml",2,0,0
"L’Oréal Pro Serie Expert Metal DX Cream Leave-In 100 ml",2,0,0
"Redken Brews Daily Shampoo 300 ml - Hårshampoo",2,-2,1
"Kérastase Blond Absolu Bain Lumiére Shampoo Refill Kit",2,0,0
"Shu Uemura Deep Cleanser Pure Serenity Shampoo 400 ml - Shampoo",2,0,0
"Oway Thermo-Detangling Cloud 240 ml - Varmebeskyttelse",2,0,0
"Redken Styling Touchable Texture 200 ml",2,0,0
"Oway Bodifying Hair Renewer 160 ml - Volumen",2,0,0
"Kérastase Résistance Sérum Extentioniste 50 ml - Hårserum",2,0,0
"Balmain Hair Couture Moisturizing Styling Cream 150 ml",2,0,0
"Redken Frizz Dismiss Rebel Tame Cream 250 ml  - Leave-in creme",2,0,0
"Wedo Moisture & Shine Shampoo 100ml",2,0,0
"HH Simonsen Air Brush i sort - Hårbørste",2,-2,1
"Redken All Soft Conditioner 500 ml - Balsam",2,-1,0.5
"Kérastase Résistance Masque Force Architecte 200 ml - Hårkur",2,0,0
"Redken Extreme Anti-Snap Leave-In Treatment 240 ml - Hårkur",2,0,0
"Redken Extreme Strength Builder Plus Mask 250 ml  - Hårkur",2,0,0
"L’Oréal Pro Serie Expert Metal DX Masque 250 ml  Hårkur",2,0,0
"Maria Nila Styling Spray 100 ml - Hårlak",2,0,0
"Redken Extreme Strength Repair Mask 250 ml - Hårkur",2,0,0
"Maria Nila Colour Refresh Cacao Intense 100 ml - Farvende hårkur",2,-1,0.5
"Kérastase Symbiose Serum Cellulaire Nuit Anti-Pelliculaire Intensif 90 ml",1,0,0
"Redken Blondage High Bright Treatment 250 ml - Shampoo",1,0,0
"L'Oreal Professionnel Infinium Hairspray x 300 ml - Hårlak",1,-1,1
"KMS Moist Repair Cleansing Conditioner 300 ml - Balsam",1,0,0
"Balmain Hair Couture Texturizing Salt Spray 200 ml",1,0,0
"Oway Phytoprotein Mist 160 ml - Leave-in mist",1,0,0
"Shu Uemura Ashita Supreme Intense Revitalization Conditioner 250 ml",1,0,0
"Kérastase Specifiqué Masque Hydra-Apaisant Hair & Scalp Mask 200 ml - Hårkur",1,-1,1
"ghd Bodyguard Heat Protect Spray - Style Gift Set",1,0,0
"KMS Add Volume Solid Shampoo - Shampoo bar",1,0,0
"Nioxin 3D Intensive Deep Protect Density Mask 150 ml - Hårkur",1,0,0
"Balmain Hair Couture Leave-In Conditioning Spray 200 ml",1,0,0
"Maria Nila Coils & Curls Luscious Curl Gel 125 ml - Krøllecreme",1,0,0
"Kérastase Première Huile Gloss Réparatrice 30 ml - hårolie",1,0,0
